移动,#genre#
深圳卫视超清,rtp://239.20.0.92:3032
黑龙江卫视超清,rtp://239.20.0.91:3036
湖北卫视超清,rtp://239.20.0.90:3040
天津卫视超清,rtp://239.20.0.89:3044
山东卫视超清,rtp://239.20.0.88:3048
BTV冬奥纪实超清,rtp://239.20.0.87:3052
辽宁卫视超清,rtp://239.20.0.86:3056
金鹰纪实超清,rtp://239.20.0.85:3060
四川卫视超清,rtp://239.20.0.82:3072
精选频道5,rtp://239.20.0.18:3332
精选频道4,rtp://239.20.0.19:3328
精选频道3,rtp://239.20.0.20:3324
精选4k频道3,rtp://239.20.0.46:3220
广东卫视,rtp://239.20.0.131:2060
精选频道1,rtp://239.20.0.17:3336
广东珠江,rtp://239.20.0.111:2020
精选频道2,rtp://239.20.0.21:3320
广东新闻,rtp://239.20.0.112:2022
精选4k频道1,rtp://239.20.0.226:2250
广东公共,rtp://239.20.0.113:2024
精选4k频道2,rtp://239.20.0.250:2298
广东体育,rtp://239.20.0.114:2026
广东国际,rtp://239.20.0.120:2038
广东经济科教,rtp://239.20.0.191:2180
广东南方卫视,rtp://239.20.0.125:2048
广东影视,rtp://239.20.0.117:2032
广东少儿,rtp://239.20.0.118:2034
广东嘉佳卡通,rtp://239.20.0.119:2036
广东综艺,rtp://239.20.0.60:3160
移动频道,rtp://239.20.0.133:2064
揭阳电视台综合频道,rtp://239.21.0.82:3668
揭阳电视台公共频道,rtp://239.21.0.83:3672
汕尾1测试,rtp://239.20.0.23:3312
汕尾2测试,rtp://239.20.0.22:3316
河源新闻综合,rtp://239.21.0.50:3540
南方购物,rtp://239.20.0.116:2030
岭南戏曲,rtp://239.20.0.115:2028
房产频道,rtp://239.20.0.126:2050
现代教育,rtp://239.20.0.128:2054
IPTV谍战剧场,rtp://239.20.0.228:2254
IPTV相声小品,rtp://239.20.0.229:2256
IPTV野外,rtp://239.20.0.230:2258
IPTV法治,rtp://239.20.0.231:2260
IPTV6+,rtp://239.20.0.232:2262
经典电影,rtp://239.20.0.233:2264
IPTV8+,rtp://239.20.0.234:2266
热播剧场,rtp://239.20.0.235:2268
IPTV3+,rtp://239.20.0.236:2270
IPTV5+,rtp://239.20.0.237:2272
少儿动画,rtp://239.20.0.238:2274
魅力时尚,rtp://239.20.0.239:2276
收视指南,rtp://239.20.0.240:2278
极k影视-测试,rtp://239.20.0.210:2218
极k精选,rtp://239.20.0.49:3204
足球,rtp://239.20.0.78:3088
汽摩,rtp://239.20.0.222:2242
梨园,rtp://239.20.0.223:2244
游戏竞技,rtp://239.20.0.187:2172
靓妆,rtp://239.20.0.188:2174
早期教育,rtp://239.20.0.189:2176
武术世界,rtp://239.20.0.190:2178
老故事,rtp://239.20.0.227:2252
中学生,rtp://239.20.0.244:2286
环球奇观,rtp://239.20.0.245:2288
国学频道,rtp://239.20.0.247:2292
文物宝库,rtp://239.20.0.248:2294
兵器科技高清,rtp://239.21.0.80:3660
电视指南高清,rtp://239.21.0.81:3664
风云足球高清,rtp://239.21.0.70:3620
央视台球高清,rtp://239.21.0.71:3624
高尔夫网球高清,rtp://239.21.0.72:3628
女性时尚高清,rtp://239.21.0.73:3632
世界地理高清,rtp://239.21.0.74:3636
怀旧剧场高清,rtp://239.21.0.75:3640
风云剧场高清,rtp://239.21.0.76:3644
央视精品高清,rtp://239.21.0.77:3648
第一剧场高清,rtp://239.21.0.78:3652
风云音乐高清,rtp://239.21.0.79:3656
咪咕-高清赛事29,rtp://239.21.0.33:3472
咪咕-高清赛事28,rtp://239.21.0.32:3468
咪咕-高清赛事27,rtp://239.21.0.31:3464
咪咕-高清赛事26,rtp://239.21.0.30:3460
咪咕-高清赛事25,rtp://239.21.0.29:3456
咪咕-高清赛事19,rtp://239.21.0.19:3416
咪咕-高清赛事18,rtp://239.21.0.18:3412
咪咕-高清赛事23,rtp://239.21.0.23:3432
咪咕-高清赛事22,rtp://239.21.0.22:3428
咪咕-高清赛事21,rtp://239.21.0.21:3424
咪咕-高清赛事20,rtp://239.21.0.20:3420
咪咕-高清赛事17,rtp://239.21.0.17:3408
咪咕-高清赛事16,rtp://239.21.0.16:3404
咪咕-高清赛事15,rtp://239.21.0.15:3400
咪咕-高清赛事14,rtp://239.21.0.14:3396
咪咕-高清赛事13,rtp://239.21.0.13:3392
咪咕-高清赛事12,rtp://239.21.0.12:3388
咪咕-高清赛事11,rtp://239.21.0.11:3384
咪咕-高清赛事10,rtp://239.21.0.10:3380
咪咕-高清赛事9,rtp://239.20.0.09:3368
咪咕-高清赛事8,rtp://239.20.0.10:3364
咪咕-高清赛事7,rtp://239.20.0.11:3360
咪咕-高清赛事6,rtp://239.20.0.12:3356
咪咕-高清赛事5,rtp://239.20.0.13:3352
咪咕-高清赛事4,rtp://239.20.0.14:3348
移动咪咕五大联赛4K-2,rtp://239.20.0.65:3140
咪咕五大联赛4K-1,rtp://239.20.0.66:3136
百视通高清直播室101,rtp://239.20.0.42:3236
百视通高清直播室102,rtp://239.20.0.41:3240
百视通高清直播室107,rtp://239.20.0.36:3260
百视通高清直播室106,rtp://239.20.0.37:3256
百视通高清直播室105,rtp://239.20.0.38:3252
百视通高清直播室104,rtp://239.20.0.39:3248
百视通高清直播室103,rtp://239.20.0.40:3244
咪咕-高清赛事1,rtp://239.20.0.45:3224
咪咕-高清赛事2,rtp://239.20.0.44:3228
咪咕-高清赛事3,rtp://239.20.0.43:3232
